DS_Name,DS_Address,EE_Name,EE_Address,ED_Name,ED_Address,Match
zacsconvenience,1977keelestreet,zzeuropeangrilldeli,1129broadviewavenue,35,29,u
zaffronristorante,6200yongestreet,zafferanogourmetpizza,579mountpleasantroad,47,34,u
zaffronristorante,6200yongestreet,zaffronristorante,6200yongestreet,100,100,m
zaffronristorante,6200yongestreet,zaglobarestaurant,317roncesvallesavenue,59,33,u
zaffronristorante,6200yongestreet,zagolauthenticethiopiancuisine,875bloorstreetwest,43,42,u
zaffronristorante,6200yongestreet,zagrosbarlounge,1245stclairavenuewest,50,39,u
zaffronristorante,6200yongestreet,zaiqahrestaurant,1291gerrardstreeteast,55,50,u
zaffronristorante,6200yongestreet,zaiqarestaurantsweets,1770albionroad,53,28,u
zaffronristorante,6200yongestreet,zakkushioncarlton,193carltonstreet,47,52,u
zaffronristorante,6200yongestreet,zallyscaffe,131bremnerboulevard,36,24,u
zaffronristorante,6200yongestreet,zamaleksandrasrestaurantandbar,1340thequeensway,43,26,u
zaffronristorante,6200yongestreet,zamrestaurantbar,1340thequeensway,55,26,u
zaffronristorante,6200yongestreet,zamzamhalalpizza,2980danforthavenue,24,36,u
zaffronristorante,6200yongestreet,zamzamhalalpizzaandwings,2980danforthavenue,24,36,u
zaffronristorante,6200yongestreet,zamzamhalalpizzawings,2980danforthavenue,26,36,u
zaffronristorante,6200yongestreet,zamzampizzaandwings,2980danforthavenue,28,36,u
zaffronristorante,6200yongestreet,zamzamrestaurant,1987kiplingavenue,55,25,u
zaffronristorante,6200yongestreet,zamzamtikkakabab,462birchmountroad,24,38,u
zaffronristorante,6200yongestreet,zanepatisserieboulangerie,1842queenstreeteast,43,47,u
zaffronristorante,6200yongestreet,zantebistro,1950gerrardstreeteast,50,50,u
zaffronristorante,6200yongestreet,zantecafe,1069midlandavenue,46,25,u
zaffronristorante,6200yongestreet,zanzibarcircustavern,359yongestreet,49,76,u
zaffronristorante,6200yongestreet,zavcoffeeshopandgallery,2048danforthavenue,45,36,u
zaffronristorante,6200yongestreet,zavidacoffeeroasters,384yongestreet,49,76,u
zaffronristorante,6200yongestreet,zazaespressobar,75yorkvilleavenue,38,31,u
zaffronristorante,6200yongestreet,zazaespressobar,25fontenaycourt,38,40,u
zaffronristorante,6200yongestreet,zazaespressobar,256beresfordavenue,38,36,u
zaffronristorante,6200yongestreet,zazaespressobargelato,775stclairavenuewest,42,34,u
zaffronristorante,6200yongestreet,zazaespressobargelato,2445yongestreet,42,80,u
